"mountain_no","mountain_name","review_classification","active_review_required","top_summit_candidate_id","top_grounding_assisted_score","second_summit_candidate_id","score_gap_to_second","grounding_reference_status","has_usable_coordinate","coordinate_conflict","grounding_distance_m","grounding_distance_tier","grounding_elevation_diff_m","grounding_name_match_status","grounding_municipality_match_status","stage21_review_status","stage21_top_candidate_id","stage21_stage23_agree","candidate_count","candidate_count_within_50m","candidate_count_within_250m","review_reason_codes","notes"
"174","唐子山","review_required_no_grounding","true","summit-candidate:71f4bbfe52f75585","0.63","summit-candidate:101c1b0635c0bec0","0.41000000000000003","no_grounding_response","false","false","","grounding_unavailable","","","","medium","summit-candidate:71f4bbfe52f75585","true","25","0","0","no_usable_coordinate",""
"179","天山","review_required_insufficient_evidence","true","summit-candidate:ea18d38abe59ed57","0.456","summit-candidate:49cfd09def5fce03","0.09600000000000003","usable","true","false","4866.1","grounding_contradicted_or_unrelated","","","","high","summit-candidate:5c9365b2a5a9c97f","false","5","0","0","insufficient_support",""
"181","星岡山","review_required_insufficient_evidence","true","summit-candidate:5c9365b2a5a9c97f","0.778","","","usable","true","false","465.2","far_grounding_candidate","6","exact","exact","medium","summit-candidate:5c9365b2a5a9c97f","true","1","0","0","insufficient_support",""
"186","垣生山","review_required_insufficient_evidence","true","summit-candidate:45f49d8fd831427c","0.504","summit-candidate:8178723bbadb1c72","0","usable","true","false","797.9","grounding_contradicted_or_unrelated","","","","high","summit-candidate:45f49d8fd831427c","true","5","0","0","insufficient_support",""
"187","津田山","review_required_insufficient_evidence","true","summit-candidate:45f49d8fd831427c","0.504","summit-candidate:49cfd09def5fce03","0","usable","true","false","1192.4","grounding_contradicted_or_unrelated","","","","high","summit-candidate:45f49d8fd831427c","true","4","0","0","insufficient_support",""
"189","権現山","review_required_no_grounding","true","summit-candidate:32bb5e7e1071e808","0.63","summit-candidate:2c817617699a0a45","0.06999999999999995","no_grounding_response","false","false","","grounding_unavailable","","","","medium","summit-candidate:32bb5e7e1071e808","true","32","0","0","no_usable_coordinate",""
"190","黒瀬山（黒瀬城址）","review_required_insufficient_evidence","true","summit-candidate:8a7a47d167c1aba6","0.504","summit-candidate:a5f51c62e44d0847","0.09600000000000003","usable","true","false","1011.7","grounding_contradicted_or_unrelated","","","","medium","summit-candidate:8a7a47d167c1aba6","true","3","0","0","insufficient_support",""
"191","岡山（岡城址）","review_required_insufficient_evidence","true","summit-candidate:8a7a47d167c1aba6","0.316","summit-candidate:a5f51c62e44d0847","0","usable","true","false","1900.9","grounding_contradicted_or_unrelated","","","","high","summit-candidate:8a7a47d167c1aba6","true","3","0","0","insufficient_support",""
"192","鉢ヶ森（鉢ヶ森城址）","review_required_no_grounding","true","summit-candidate:a660f8ef78c69ab0","0.63","summit-candidate:8a7a47d167c1aba6","0.18","no_grounding_response","false","false","","grounding_unavailable","","","","medium","summit-candidate:a660f8ef78c69ab0","true","25","0","0","no_usable_coordinate",""
"193","護摩ヶ森（護摩ヶ森城址）","review_required_no_grounding","true","summit-candidate:a5f51c62e44d0847","0.63","summit-candidate:8a7a47d167c1aba6","0.12","no_grounding_response","false","false","","grounding_unavailable","","","","medium","summit-candidate:a5f51c62e44d0847","true","38","0","0","no_usable_coordinate",""
"194","我合山（我合城址）","review_required_insufficient_evidence","true","summit-candidate:8a7a47d167c1aba6","0.673","summit-candidate:a5f51c62e44d0847","0.35700000000000004","usable","true","false","441.6","far_grounding_candidate","0.6","exact","exact","high","summit-candidate:8a7a47d167c1aba6","true","3","0","0","insufficient_support",""
"201","金比羅山","review_required_no_grounding","true","summit-candidate:c6ced2088a2376f5","0.57","summit-candidate:47129c06b82cf694","0.11999999999999994","no_grounding_response","false","false","","grounding_unavailable","","","","medium","summit-candidate:c6ced2088a2376f5","true","21","0","0","no_usable_coordinate",""
"209","淡路ヶ峠","review_required_insufficient_evidence","true","summit-candidate:d43fade4de3e33c8","0.504","summit-candidate:b9e78d4a587ceaa0","0","usable","true","false","676.6","grounding_contradicted_or_unrelated","","","","medium","summit-candidate:d43fade4de3e33c8","true","4","0","0","insufficient_support",""
"215","真城ヶ台","review_required_no_grounding","true","summit-candidate:6d533e458b56f1d6","0.63","summit-candidate:a0c35720552a78c8","0.41000000000000003","no_grounding_response","false","false","","grounding_unavailable","","","","medium","summit-candidate:6d533e458b56f1d6","true","16","0","0","no_usable_coordinate",""
"216","千羽ヶ岳","review_required_no_grounding","true","summit-candidate:afd70dd670366e77","0.63","summit-candidate:64a47ed9c06f56d5","0.41000000000000003","no_grounding_response","false","false","","grounding_unavailable","","","","medium","summit-candidate:afd70dd670366e77","true","30","0","0","no_usable_coordinate",""
"217","皿ヶ嶺","review_required_insufficient_evidence","true","summit-candidate:7a1f0e8b5f9e5cc2","0.504","summit-candidate:b06e13a9483478e5","0.2","usable","true","false","770.8","grounding_contradicted_or_unrelated","","","","high","summit-candidate:7a1f0e8b5f9e5cc2","true","2","0","0","insufficient_support",""
"225","下兜山","review_required_no_grounding","true","summit-candidate:4311f3ae9948ea08","0.63","summit-candidate:339138a4e53293da","0.18","no_grounding_response","false","false","","grounding_unavailable","","","","medium","summit-candidate:4311f3ae9948ea08","true","26","0","0","no_usable_coordinate",""
"228","餓鬼ヶ森","review_required_no_grounding","true","summit-candidate:be07cff01023e072","0.63","summit-candidate:2a670286f545beb2","0.12","no_grounding_response","false","false","","grounding_unavailable","","","","medium","summit-candidate:be07cff01023e072","true","21","0","0","no_usable_coordinate",""
"229","船野山","review_required_no_grounding","true","summit-candidate:7880c9d0de83468b","0.51","summit-candidate:54cf4155ab259d9d","0.29000000000000004","no_grounding_response","false","false","","grounding_unavailable","","","","medium","summit-candidate:7880c9d0de83468b","true","31","0","0","no_usable_coordinate",""
"232","奥之城山","review_required_no_grounding","true","summit-candidate:ea33d870d4700a56","0.63","summit-candidate:0ec3be2fa2295b82","0.12","no_grounding_response","false","false","","grounding_unavailable","","","","medium","summit-candidate:ea33d870d4700a56","true","27","0","0","no_usable_coordinate",""
"233","天狗岳","review_required_insufficient_evidence","true","summit-candidate:22e40e9eb117a033","0.46","summit-candidate:3b98b67bbe0fe0f9","0.01200000000000001","usable","true","false","379.5","far_grounding_candidate","462.1","exact","exact","high","summit-candidate:3b98b67bbe0fe0f9","false","2","0","0","insufficient_support",""
"239","東赤石山","review_required_insufficient_evidence","true","summit-candidate:2b7cce23b57844a5","0.456","summit-candidate:5104c47f17101d63","0.09600000000000003","usable","true","false","2777.2","grounding_contradicted_or_unrelated","","","","medium","summit-candidate:5104c47f17101d63","false","4","0","0","insufficient_support",""
"243","丸山","review_required_no_grounding","true","summit-candidate:2670057d58a25475","0.63","summit-candidate:453327d51d16e202","0.25","no_grounding_response","false","false","","grounding_unavailable","","","","medium","summit-candidate:2670057d58a25475","true","28","0","0","no_usable_coordinate",""
"246","四辻ノ森","review_required_no_grounding","true","summit-candidate:d659f1dc6e5fa0b5","0.63","summit-candidate:c4504025c94f843c","0.06000000000000005","no_grounding_response","false","false","","grounding_unavailable","","","","medium","summit-candidate:d659f1dc6e5fa0b5","true","21","0","0","no_usable_coordinate",""
"247","三光ノ辻山","review_required_no_grounding","true","summit-candidate:c4504025c94f843c","0.63","summit-candidate:d659f1dc6e5fa0b5","0","no_grounding_response","false","false","","grounding_unavailable","","","","medium","summit-candidate:c4504025c94f843c","true","25","0","0","no_usable_coordinate",""
"249","羽子山","review_required_no_grounding","true","summit-candidate:9a0532ee2b40e5f3","0.63","summit-candidate:290abf917754fd0b","0.18","no_grounding_response","false","false","","grounding_unavailable","","","","medium","summit-candidate:9a0532ee2b40e5f3","true","15","0","0","no_usable_coordinate",""
"250","観音森","review_required_no_grounding","true","summit-candidate:cf1cb583d492455c","0.63","summit-candidate:b997b8fd6709731d","0.06000000000000005","no_grounding_response","false","false","","grounding_unavailable","","","","medium","summit-candidate:cf1cb583d492455c","true","17","0","0","no_usable_coordinate",""
"251","三森","review_required_no_grounding","true","summit-candidate:f7593239fa7bdcc9","0.63","summit-candidate:290abf917754fd0b","0.18","no_grounding_response","false","false","","grounding_unavailable","","","","medium","summit-candidate:f7593239fa7bdcc9","true","18","0","0","no_usable_coordinate",""
"252","総津権現山","review_required_no_grounding","true","summit-candidate:f108570a8e33ce90","0.63","summit-candidate:047b9599ec28c6ad","0.32","no_grounding_response","false","false","","grounding_unavailable","","","","medium","summit-candidate:f108570a8e33ce90","true","25","0","0","no_usable_coordinate",""
"257","大空山","review_required_no_grounding","true","summit-candidate:fd13fabb918486e6","0.56","summit-candidate:6756239601754708","0.3500000000000001","no_grounding_response","false","false","","grounding_unavailable","","","","high","summit-candidate:fd13fabb918486e6","true","29","0","0","no_usable_coordinate",""
"258","御串山","review_required_insufficient_evidence","true","summit-candidate:02d59cd1260af017","0.448","","","usable","true","false","798.3","grounding_contradicted_or_unrelated","","","","high","summit-candidate:02d59cd1260af017","true","1","0","0","insufficient_support",""
"259","宝股山","review_required_no_grounding","true","summit-candidate:468c5bbccd8aba53","0.56","summit-candidate:0f09bdcc25daff65","0.3500000000000001","no_grounding_response","false","false","","grounding_unavailable","","","","high","summit-candidate:468c5bbccd8aba53","true","26","0","0","no_usable_coordinate",""
"261","鳥屋ヶ森","review_required_no_grounding","true","summit-candidate:ef6730fa259856ec","0.63","summit-candidate:730e21bca5cdf60d","0.35","no_grounding_response","false","false","","grounding_unavailable","","","","medium","summit-candidate:ef6730fa259856ec","true","21","0","0","no_usable_coordinate",""
"262","熊ガ峰","review_required_no_grounding","true","summit-candidate:ef3e845b5d632dd3","0.63","summit-candidate:93a4d66ef3ee559d","0.35","no_grounding_response","false","false","","grounding_unavailable","","","","medium","summit-candidate:ef3e845b5d632dd3","true","27","0","0","no_usable_coordinate",""
"263","権現山","review_required_no_grounding","true","summit-candidate:84f974876f397da1","0.63","summit-candidate:2c817617699a0a45","0.06999999999999995","no_grounding_response","false","false","","grounding_unavailable","","","","medium","summit-candidate:84f974876f397da1","true","34","0","0","no_usable_coordinate",""
"265","譲ヶ葉森","review_required_no_grounding","true","summit-candidate:19baf3ce30f8991a","0.63","summit-candidate:56cffb103cbe3aac","0.18","no_grounding_response","false","false","","grounding_unavailable","","","","medium","summit-candidate:19baf3ce30f8991a","true","15","0","0","no_usable_coordinate",""
"270","毛山","review_required_no_grounding","true","summit-candidate:40068653b28bad40","0.63","summit-candidate:f7e5fd7b11eb7bd4","0","no_grounding_response","false","false","","grounding_unavailable","","","","medium","summit-candidate:40068653b28bad40","true","24","0","0","no_usable_coordinate",""
"271","白石山","review_required_no_grounding","true","summit-candidate:ac8e3853fbbf0c6f","0.63","summit-candidate:24dc6cf37ce4e715","0.42000000000000004","no_grounding_response","false","false","","grounding_unavailable","","","","medium","summit-candidate:ac8e3853fbbf0c6f","true","21","0","0","no_usable_coordinate",""
"272","観音岳","review_required_no_grounding","true","summit-candidate:a53cc9868b7f2f70","0.56","summit-candidate:cf1cb583d492455c","0.28","no_grounding_response","false","false","","grounding_unavailable","","","","medium","summit-candidate:a53cc9868b7f2f70","true","15","0","0","no_usable_coordinate",""
"273","音無山","review_required_no_grounding","true","summit-candidate:97e45d6eab227d56","0.63","summit-candidate:56cffb103cbe3aac","0.41000000000000003","no_grounding_response","false","false","","grounding_unavailable","","","","medium","summit-candidate:97e45d6eab227d56","true","16","0","0","no_usable_coordinate",""
"274","天ガ森","review_required_no_grounding","true","summit-candidate:93a4d66ef3ee559d","0.57","summit-candidate:e55456349660bd14","0.2899999999999999","no_grounding_response","false","false","","grounding_unavailable","","","","medium","summit-candidate:93a4d66ef3ee559d","true","22","0","0","no_usable_coordinate",""
"275","夫婦山","review_required_no_grounding","true","summit-candidate:3e9348428f22a320","0.63","summit-candidate:2ab43729f5e80cbe","0.06000000000000005","no_grounding_response","false","false","","grounding_unavailable","","","","medium","summit-candidate:3e9348428f22a320","true","39","0","0","no_usable_coordinate",""
"277","観音山","review_required_no_grounding","true","summit-candidate:cf29543e6beaa1ec","0.63","summit-candidate:13b7a4bb8154974a","0.06000000000000005","no_grounding_response","false","false","","grounding_unavailable","","","","medium","summit-candidate:cf29543e6beaa1ec","true","38","0","0","no_usable_coordinate",""
"278","国見山","review_required_no_grounding","true","summit-candidate:2ab43729f5e80cbe","0.63","summit-candidate:3e9348428f22a320","0","no_grounding_response","false","false","","grounding_unavailable","","","","medium","summit-candidate:2ab43729f5e80cbe","true","38","0","0","no_usable_coordinate",""
"286","横ノ森","review_required_insufficient_evidence","true","summit-candidate:12c27f259b66de80","0.448","summit-candidate:9186201ca03b041d","0.040000000000000036","usable","true","false","1754.3","grounding_contradicted_or_unrelated","","","","high","summit-candidate:12c27f259b66de80","true","7","0","0","insufficient_support",""
