mountain_no,mountain_name,summit_candidate_id,source_gpx_basename,track_name,candidate_ele_m,mountain_elevation_m,elevation_diff_m,location_refined_candidate_score,location_refined_rank_for_mountain,location_refined_rank_for_summit_candidate,score_gap_to_next_candidate,mutual_top1,mutual_top3,confidence,review_priority,compact_review_priority,review_bucket,location_refinement_level,csv_municipality,csv_island,matched_terms,nearest_display_name,review_reason_codes,review_priority_reason_codes,compact_review_reason_codes,notes
462,鞍掛山,summit-candidate:6b19d2116121b615,yamap_2026-02-07_11_17.gpx,鞍掛山,624.4499999999999,629,4.55,0.75,1,1,0.2,true,true,medium,high,medium,accept_candidate_after_map_check,location_uncertain_keep,八幡浜市,,candidate_boundary_ambiguous,,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate|activity_link_ambiguous,top_1_but_ambiguous,clear_mutual_top1,"mountain=鞍掛山(#462); candidate=summit-candidate:6b19d2116121b615; track=""鞍掛山""; score=0.75; name_tier=strong; ele_diff=4.55m; loc=strong_overlap; act_conf=high"
462,鞍掛山,summit-candidate:6adfa15b8dbd8966,yamap_2026-02-07_07_21.gpx,牛の峰・尻高峰,756.9766666666668,629,127.98,0.55,2,3,0.1,false,true,low,medium,high,check_location_warning,boundary_plausible,八幡浜市,,adjacent_municipality,大洲市,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_elevation_evidence|missing_csv_coordinate|location_mismatch_warning|activity_link_ambiguous,top_3_with_evidence,boundary_plausible,"mountain=鞍掛山(#462); candidate=summit-candidate:6adfa15b8dbd8966; track=""牛の峰・尻高峰""; score=0.5; name_tier=strong; ele_diff=127.98m; loc=mismatch_warning; act_conf=high"
462,鞍掛山,summit-candidate:bd8fda9e743f2008,yamap_2026-02-07_07_21.gpx,牛の峰・尻高峰,681.2333333333333,629,52.23,0.45,3,5,0.07,false,false,low,low,high,check_location_warning,adjacent_but_deep_inside,八幡浜市,,adjacent_municipality,大洲市,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_elevation_evidence|missing_csv_coordinate|location_mismatch_warning|activity_link_ambiguous,adjacent_but_deep_inside,adjacent_but_deep_inside,"mountain=鞍掛山(#462); candidate=summit-candidate:bd8fda9e743f2008; track=""牛の峰・尻高峰""; score=0.5; name_tier=strong; ele_diff=52.23m; loc=mismatch_warning; act_conf=high"
463,大畑山,summit-candidate:bb84b00f3a929195,yamap_2026-02-14_08_22.gpx,大畑山,642.6,645,2.4,0.68,1,1,0.01,true,true,medium,high,medium,accept_candidate_after_map_check,location_uncertain_keep,八幡浜市,,candidate_boundary_ambiguous,,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate|location_mismatch_warning|activity_link_ambiguous,top_1_but_ambiguous,clear_mutual_top1,"mountain=大畑山(#463); candidate=summit-candidate:bb84b00f3a929195; track=""大畑山""; score=0.68; name_tier=strong; ele_diff=2.4m; loc=mismatch_warning; act_conf=high"
463,大畑山,summit-candidate:6756239601754708,yamap_2026-02-14_13_33.gpx,権現山,358.1833333333334,645,286.82,0.67,2,4,0.33,false,false,medium,high,high,resolve_conflict,location_strong_match,八幡浜市,,same_municipality,八幡浜市,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_elevation_evidence|missing_csv_coordinate|activity_link_ambiguous,top_candidate_for_multiple_mountains,shared_candidate,"mountain=大畑山(#463); candidate=summit-candidate:6756239601754708; track=""権現山""; score=0.57; name_tier=strong; ele_diff=286.82m; loc=strong_overlap; act_conf=high"
463,大畑山,summit-candidate:6b19d2116121b615,yamap_2026-02-07_11_17.gpx,鞍掛山,624.4499999999999,645,20.55,0.34,3,5,0.02,false,false,low,medium,low,low_priority,location_uncertain_keep,八幡浜市,,candidate_boundary_ambiguous,,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|activity_link_ambiguous,top_3_with_evidence,low_priority_alternative,"mountain=大畑山(#463); candidate=summit-candidate:6b19d2116121b615; track=""鞍掛山""; score=0.34; name_tier=none; ele_diff=20.55m; loc=strong_overlap; act_conf=high"
464,飯之山,summit-candidate:6756239601754708,yamap_2026-02-14_13_33.gpx,権現山,358.1833333333334,320,38.18,0.73,1,2,0.23,false,true,medium,high,high,resolve_conflict,location_strong_match,八幡浜市,,same_municipality,八幡浜市,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate|activity_link_ambiguous,top_1_but_ambiguous|top_candidate_for_multiple_mountains,shared_candidate|not_mutual_top1,"mountain=飯之山(#464); candidate=summit-candidate:6756239601754708; track=""権現山""; score=0.63; name_tier=strong; ele_diff=38.18m; loc=strong_overlap; act_conf=high"
464,飯之山,summit-candidate:bb84b00f3a929195,yamap_2026-02-14_08_22.gpx,大畑山,642.6,320,322.6,0.5,2,7,0.17,false,false,low,medium,low,low_priority,location_uncertain_keep,八幡浜市,,candidate_boundary_ambiguous,,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_elevation_evidence|missing_csv_coordinate|location_mismatch_warning|activity_link_ambiguous,top_3_with_evidence,low_priority_alternative,"mountain=飯之山(#464); candidate=summit-candidate:bb84b00f3a929195; track=""大畑山""; score=0.5; name_tier=strong; ele_diff=322.6m; loc=mismatch_warning; act_conf=high"
464,飯之山,summit-candidate:35b464661fa62df9,yamap_2022-09-15_09_20.gpx,三山,323.2966666666667,320,3.3,0.33,3,14,0,false,false,low,high,high,resolve_conflict,location_uncertain_keep,八幡浜市,,non_adjacent_municipality,上島町,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning|activity_link_ambiguous,top_candidate_for_multiple_mountains,shared_candidate,"mountain=飯之山(#464); candidate=summit-candidate:35b464661fa62df9; track=""三山""; score=0.33; name_tier=none; ele_diff=3.3m; loc=mismatch_warning; act_conf=high"
465,権現山,summit-candidate:6756239601754708,yamap_2026-02-14_13_33.gpx,権現山,358.1833333333334,364,5.82,0.85,1,1,0.17,true,true,medium,medium,high,resolve_conflict,location_strong_match,八幡浜市,,same_municipality,八幡浜市,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate|activity_link_ambiguous,top_1_but_ambiguous|top_candidate_for_multiple_mountains|priority_reduced_strong_match_mutual_top1,shared_candidate,"mountain=権現山(#465); candidate=summit-candidate:6756239601754708; track=""権現山""; score=0.75; name_tier=strong; ele_diff=5.82m; loc=strong_overlap; act_conf=high"
