summit_candidate_id,source_gpx_basename,track_name,candidate_lat,candidate_lon,candidate_ele_m,top1_mountain_count,top3_mountain_count,top1_mountain_nos,top1_mountain_names,top3_mountain_nos,top3_mountain_names,max_score,score_spread,suggested_review_bucket,notes
summit-candidate:edac81b361bdc70c,yamap_2024-12-01_06_40.gpx,唐谷山・天狗森・木峰・金見山・高丸・五郎丸・大谷山・龍王山,34.0123819,133.6793921,591.7966666666667,7,10,331|332|333|334|335|337|339,五郎丸|高丸|金見山|木峰|天狗森|龍王山|城山,331|332|333|334|335|336|337|338|339|507,五郎丸|高丸|金見山|木峰|天狗森|唐谷山|龍王山|大谷山|城山|牛ヶ首,0.78,0.51,resolve_conflict,top1_count=7; top3_count=10; max_score=0.78
summit-candidate:0ff024bf702c13bb,yamap_2023-03-11_06_08.gpx,福見山・明神ヶ森・南三方ヶ森・魚谷森・左谷ノ森,33.9266494,132.924009,927.3133333333334,3,7,213|214|521,魚谷森|左谷ノ森|小森,64|210|211|212|213|214|521,大月山|福見山|明神ヶ森|南三方ヶ森|魚谷森|左谷ノ森|小森,0.85,0.58,resolve_conflict,top1_count=3; top3_count=7; max_score=0.85
summit-candidate:006436491de34784,yamap_2022-11-26_04_41.gpx,銅山峰・西山・綱繰山・獅子舞の鼻・冠山・平家平,33.8159575,133.3107033,1729.61,3,6,167|309|320,冠山|平家平|銅山峰,31|165|166|167|309|320,西山|綱繰山|獅子舞の鼻|冠山|平家平|銅山峰,0.85,0.58,resolve_conflict,top1_count=3; top3_count=6; max_score=0.85
summit-candidate:057580d1c60049b6,yamap_2024-10-05_06_40.gpx,銅山峰・西山・三の森・二の森・一の森,33.8596586,133.3188738,1425.3166666666668,3,6,321|322|323,西山|三の森|二の森,320|321|322|323|324|430,銅山峰|西山|三の森|二の森|一の森|三ッ森山,0.85,0.78,resolve_conflict,top1_count=3; top3_count=6; max_score=0.85
summit-candidate:079ae30d76fb11c2,yamap_2022-03-13_09_49.gpx,倉谷山・芝ヶ峠・淡路ヶ峠・宝ヶ峯,33.8265074,132.8167326,280.85333333333335,3,6,48|208|209,芝ヶ峠|宝ヶ峯|淡路ヶ峠,47|48|110|208|209|388,倉谷山|芝ヶ峠|小富士|宝ヶ峯|淡路ヶ峠|姫政山,0.85,0.78,resolve_conflict,top1_count=3; top3_count=6; max_score=0.85
summit-candidate:8a7a47d167c1aba6,yamap_2023-01-08_14_24.gpx,黒瀬山(黒瀬城址)・岡山(岡山城址)・鉢ヶ森(鉢ヶ森城址)・護摩ヶ森(護摩ヶ森城址)・我合山(...,33.3556223,132.5138567,349.4466666666667,3,6,190|191|194,黒瀬山（黒瀬城址）|岡山（岡城址）|我合山（我合城址）,128|190|191|192|193|194,狩江権現山|黒瀬山（黒瀬城址）|岡山（岡城址）|鉢ヶ森（鉢ヶ森城址）|護摩ヶ森（護摩ヶ森城址）|我合山（我合城址）,0.85,0.78,resolve_conflict,top1_count=3; top3_count=6; max_score=0.85
summit-candidate:084fa7c9e55252dc,yamap_2026-03-11_10_35.gpx,野津子山・軽ノ山,33.8667446,132.768519,165.84333333333333,3,5,424|484|485,千秋寺山|軽ノ山|野津子山,24|113|424|484|485,御幸寺山|大峰ヶ台|千秋寺山|軽ノ山|野津子山,0.85,0.78,resolve_conflict,top1_count=3; top3_count=5; max_score=0.85
summit-candidate:1432f597b5dca157,yamap_2023-01-28_14_27.gpx,古城山・尾崎山,33.9038632,132.7837316,253.17333333333332,3,5,206|207|279,古城山|尾崎山|城山,134|204|206|207|279,雄甲山|金毘羅山|古城山|尾崎山|城山,0.85,0.78,resolve_conflict,top1_count=3; top3_count=5; max_score=0.85
summit-candidate:1ebd63d8e2790409,yamap_2022-05-02_09_06.gpx,大川嶺・笠取山・ウバホド山,33.5604174,132.9270238,1532.1452947696732,3,5,77|78|79,大川嶺|笠取山|ウバホド山,77|78|79|300|318,大川嶺|笠取山|ウバホド山|面河山|中津山(明神山),0.85,0.58,resolve_conflict,top1_count=3; top3_count=5; max_score=0.85
summit-candidate:5b7c833ac0535534,yamap_2023-01-28_11_53.gpx,鳥越山,33.8899037,132.758853,99.92333333333335,3,5,202|203|205,鳥越山|谷田山|佐古田山,202|203|205|206|207,鳥越山|谷田山|佐古田山|古城山|尾崎山,0.85,0.78,resolve_conflict,top1_count=3; top3_count=5; max_score=0.85
summit-candidate:6b0155a434d72d79,yamap_2024-12-15_07_21.gpx,陣が森・岩が森・スクモ塚・高萩山・長者森,33.9890249,132.8891658,532.4466666666667,3,5,344|502|503,陣が森|うつむき山|妙見山,344|348|442|502|503,陣が森|長者森|天道ヶ頭|うつむき山|妙見山,0.68,0.41,resolve_conflict,top1_count=3; top3_count=5; max_score=0.68
