mountain_no,mountain_name,summit_candidate_id,source_gpx_basename,track_name,candidate_ele_m,mountain_elevation_m,elevation_diff_m,location_refined_candidate_score,location_refined_rank_for_mountain,location_refined_rank_for_summit_candidate,score_gap_to_next_candidate,mutual_top1,mutual_top3,confidence,review_priority,compact_review_priority,review_bucket,location_refinement_level,csv_municipality,csv_island,matched_terms,nearest_display_name,review_reason_codes,review_priority_reason_codes,compact_review_reason_codes,notes
315,岩屋山,summit-candidate:cf1cb583d492455c,yamap_2023-11-19_06_46.gpx,瀬戸黒森・三森・羽子山・観音森,784.9416257231666,786,1.06,0.13,13,7,0.06,false,false,low,deprioritized,high,check_location_warning,municipality_incompatible_strong,久万高原町,,non_adjacent_municipality,愛南町,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning,incompatible_municipality,municipality_incompatible_strong,"mountain=岩屋山(#315); candidate=summit-candidate:cf1cb583d492455c; track=""瀬戸黒森・三森・羽子山・観音森""; score=0.33; name_tier=none; ele_diff=1.06m; loc=mismatch_warning; act_conf=high"
316,高縄山,summit-candidate:6ba0d3c6b0fb6b96,yamap_2022-04-09_14_44.gpx,大月山・高縄山,981.3100000000001,993,11.69,0.79,1,2,0.06,false,true,medium,high,high,resolve_conflict,location_strong_match,松山市,,same_municipality,松山市,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate|activity_link_ambiguous,top_1_but_ambiguous,not_mutual_top1,"mountain=高縄山(#316); candidate=summit-candidate:6ba0d3c6b0fb6b96; track=""大月山・高縄山""; score=0.69; name_tier=strong; ele_diff=11.69m; loc=strong_overlap; act_conf=high"
316,高縄山,summit-candidate:d5a6fcb592162088,yamap_2026-04-29_06_34.gpx,面木山・黒森,981.2133333333335,993,11.79,0.27,12,15,0,false,false,none,high,high,resolve_conflict,location_uncertain_keep,松山市,,candidate_boundary_ambiguous,,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning,top_candidate_for_multiple_mountains,shared_candidate,"mountain=高縄山(#316); candidate=summit-candidate:d5a6fcb592162088; track=""面木山・黒森""; score=0.27; name_tier=none; ele_diff=11.79m; loc=mismatch_warning; act_conf=high"
316,高縄山,summit-candidate:dedadc05e5f6d5d5,yamap_2025-03-23_11_12.gpx,北ヶ森・高土の峰,1008.4066666666666,993,15.41,0.27,13,12,0,false,false,none,high,high,resolve_conflict,location_uncertain_keep,松山市,,candidate_boundary_ambiguous,,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning,top_candidate_for_multiple_mountains,shared_candidate,"mountain=高縄山(#316); candidate=summit-candidate:dedadc05e5f6d5d5; track=""北ヶ森・高土の峰""; score=0.27; name_tier=none; ele_diff=15.41m; loc=mismatch_warning; act_conf=high"
317,伊予富士,summit-candidate:006436491de34784,yamap_2022-11-26_04_41.gpx,銅山峰・西山・綱繰山・獅子舞の鼻・冠山・平家平,1729.61,1756,26.39,0.32,7,12,0.05,false,false,none,high,high,resolve_conflict,boundary_plausible,西条市,,adjacent_municipality,新居浜市,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate|location_mismatch_warning,top_candidate_for_multiple_mountains,shared_candidate,"mountain=伊予富士(#317); candidate=summit-candidate:006436491de34784; track=""銅山峰・西山・綱繰山・獅子舞の鼻・冠山・平家平""; score=0.27; name_tier=none; ele_diff=26.39m; loc=mismatch_warning; act_conf=high"
318,中津山(明神山),summit-candidate:1ebd63d8e2790409,yamap_2022-05-02_09_06.gpx,大川嶺・笠取山・ウバホド山,1532.1452947696732,1541,8.85,0.5,3,5,0,false,false,low,high,high,resolve_conflict,location_strong_match,久万高原町,,same_municipality,久万高原町,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|missing_csv_coordinate,top_candidate_for_multiple_mountains,shared_candidate,"mountain=中津山(明神山)(#318); candidate=summit-candidate:1ebd63d8e2790409; track=""大川嶺・笠取山・ウバホド山""; score=0.4; name_tier=none; ele_diff=8.85m; loc=strong_overlap; act_conf=high"
318,中津山(明神山),summit-candidate:3259dfe3d9ce60c5,yamap_2022-03-23_07_38.gpx,明神山・潮見山,152.25333333333333,1541,1388.75,0.275,11,25,0,false,false,low,low,high,resolve_conflict,adjacent_but_deep_inside,久万高原町,,adjacent_municipality,松山市,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|weak_elevation_evidence|missing_csv_coordinate|location_mismatch_warning,adjacent_but_deep_inside,shared_candidate,"mountain=中津山(明神山)(#318); candidate=summit-candidate:3259dfe3d9ce60c5; track=""明神山・潮見山""; score=0.325; name_tier=weak; ele_diff=1388.75m; loc=mismatch_warning; act_conf=high"
318,中津山(明神山),summit-candidate:0bd3d051cdb972fd,yamap_2024-12-08_06_59.gpx,本尊山・秋葉山・立烏帽子山・明神山,632.3133333333334,1541,908.69,0.125,13,21,0,false,false,low,deprioritized,high,resolve_conflict,municipality_incompatible_strong,久万高原町,,non_adjacent_municipality,伊予市,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_name_evidence|weak_elevation_evidence|missing_csv_coordinate|location_mismatch_warning,incompatible_municipality,shared_candidate,"mountain=中津山(明神山)(#318); candidate=summit-candidate:0bd3d051cdb972fd; track=""本尊山・秋葉山・立烏帽子山・明神山""; score=0.325; name_tier=weak; ele_diff=908.69m; loc=mismatch_warning; act_conf=high"
319,猿越山,summit-candidate:a0c5556d9432a199,yamap_2024-09-23_07_35.gpx,中津山(明神山)・猿越山,1432.5666666666666,1435,2.43,0.68,2,1,0.01,false,true,medium,medium,high,check_close_alternatives,location_uncertain_keep,久万高原町,,candidate_boundary_ambiguous,,multiple_candidates_for_mountain|multiple_mountains_for_candidate|missing_csv_coordinate|location_mismatch_warning,top_3_with_evidence,small_score_gap,"mountain=猿越山(#319); candidate=summit-candidate:a0c5556d9432a199; track=""中津山(明神山)・猿越山""; score=0.68; name_tier=strong; ele_diff=2.43m; loc=mismatch_warning; act_conf=high"
319,猿越山,summit-candidate:fec0bb942061619b,yamap_2024-09-23_07_35.gpx,中津山(明神山)・猿越山,1539.5333333333335,1435,104.53,0.67,3,2,0.05,false,true,medium,medium,high,check_close_alternatives,location_strong_match,久万高原町,,same_municipality,久万高原町,multiple_candidates_for_mountain|multiple_mountains_for_candidate|weak_elevation_evidence|missing_csv_coordinate,top_3_with_evidence,small_score_gap,"mountain=猿越山(#319); candidate=summit-candidate:fec0bb942061619b; track=""中津山(明神山)・猿越山""; score=0.57; name_tier=strong; ele_diff=104.53m; loc=strong_overlap; act_conf=high"
