No,山名,標高,登頂回数,YAMAP link,難易度ランク,エントリーコースお勧め山,GPS,市町村・島,年,シカ,月,備考,分県登山ガイド（2008）,分県登山ガイド（2016）,四国の1000m峰（2015）,四国百山,百名山,愛媛ゆうゆう山歩き
154,法師山,"1,310",1,https://yamap.com/activities/20542185,2,,,東温市,2022,,10月,,,,,,,
155,白猪山,"1,202",1,https://yamap.com/activities/20542185,2,,,東温市,2022,〇,10月,,,,,,,
156,梅ヶ谷山,"1,316",1,https://yamap.com/activities/20542185,2,,,東温市,2022,,10月,,,〇,,,,
157,樽谷山,"1,255",1,https://yamap.com/activities/20542185,2,,,東温市,2022,,10月,,,,〇,,,
158,根無山,"1,241",1,https://yamap.com/activities/20542185,2,,,東温市,2022,,10月,,,,,,,
159,権現山,"1,594",2,https://yamap.com/activities/20769524,3,,,新居浜市,2022,〇,11月,,,,〇,,,
160,黒岳,"1,636",1,https://yamap.com/activities/20769524,5,,,新居浜市,2022,〇,11月,,,〇,〇,,,
161,エビラ山,"1,673",1,https://yamap.com/activities/20769524,5,,,新居浜市,2022,〇,11月,,,〇,〇,,,
162,二ッ岳,"1,647",1,https://yamap.com/activities/20769524,3,,,新居浜市,2022,〇,11月,,〇,〇,〇,★,☆,★
163,鹿島山,114,1,https://yamap.com/activities/20840182,1,,,松山市,2022,〇,11月,,,,,,,
164,出石山,812,1,https://yamap.com/activities/20978991,1,〇,,大洲市,2022,,11月,,,,,★,,★
165,綱繰山,"1,466",1,https://yamap.com/activities/21174105,3,,,新居浜市,2022,〇,11月,,,,,,,
166,獅子舞の鼻,"1,482",1,https://yamap.com/activities/21174105,3,,,新居浜市,2022,〇,11月,,,,,,,
167,冠山,"1,731",1,https://yamap.com/activities/21174105,3,,,新居浜市,2022,〇,11月,,,〇,〇,,,
168,遠ヶ森,728,1,https://yamap.com/activities/21456728,3,,,松山市,2022,〇,12月,,,,,,,
169,扇山,200,1,https://yamap.com/activities/21457449,1,,,砥部町,2022,,12月,,,,,,,
170,高山,135,1,https://yamap.com/activities/21589436,1,,,今治市,2022,,12月,,,,,,,
171,塔ノ峰,150,1,https://yamap.com/activities/21590134,1,,,今治市,2022,,12月,,,,,,,
172,海山,155,1,https://yamap.com/activities/21590913,1,,,今治市,2022,,12月,,,,,,,
173,近見山,244,1,https://yamap.com/activities/21592956,1,,,今治市,2022,,12月,,,,,,,
174,唐子山,105,1,https://yamap.com/activities/21596150,1,,,今治市,2022,,12月,,,,,,,
175,医王山,100,1,https://yamap.com/activities/21599402,1,,,西条市,2022,,12月,,,,,,,
176,永納山(永納山城址),132,1,https://yamap.com/activities/21602602,1,,,西条市,2022,,12月,,,,,,,
177,佐々久山,56,1,https://yamap.com/activities/21605174,1,,,西条市,2022,,12月,,,,,,,
178,土亀山,50,1,https://yamap.com/activities/21696855,1,,,松山市,2022,,12月,,,,,,,
179,天山,51,1,https://yamap.com/activities/21697421,1,,,松山市,2022,,12月,,,,,,,
180,東山,1392,1,https://yamap.com/activities/20086190,2,,,新居浜市,2022,〇,12月,,,,,,,
181,星岡山,75,1,https://yamap.com/activities/21699312,1,,,松山市,2022,,12月,,,,,,,
182,河原樋山,864,1,https://yamap.com/activities/21774169,3,,,松山市,2023,〇,1月,,,,,,,
183,真松嶺,548,1,https://yamap.com/activities/21774169,3,,,松山市,2023,〇,1月,,,,,,,
184,柿王寺森,545,1,https://yamap.com/activities/21774169,3,,,松山市,2023,〇,1月,,,,,,,
185,岩子山,111,1,https://yamap.com/activities/21828514,1,,,松山市,2023,,1月,,,,,,,
