mountain_no,mountain_name,summit_candidate_id,grounding_assisted_candidate_score,grounding_match_status,grounding_distance_m,grounding_elevation_diff_m,candidate_lat,candidate_lon,candidate_ele_m,mountain_elevation_m,candidate_rank_for_mountain,track_name,grounding_reason_codes
293,気多山,summit-candidate:83f3af0488659ac8,0.21,grounding_unavailable,,,33.8940921,132.9178729,1212.2866666666666,1218,14,福見山・明神ヶ森・南三方ヶ森・魚谷森・左谷ノ森,grounding_response_without_coordinate
293,気多山,summit-candidate:90c3723735d95c0d,0.21,grounding_unavailable,,,33.2086892,132.6346403,1224.2266666666667,1218,15,高月山・東高月山・郭公岳・櫨ヶ森・毛山,grounding_response_without_coordinate
293,気多山,summit-candidate:a1b1b7885eeab893,0.21,grounding_unavailable,,,33.8717366,133.6269198,1220.8566666666666,1218,16,三ッ足山・カガマシ山・橡尾山・笹ヶ峰,grounding_response_without_coordinate
293,気多山,summit-candidate:babbcdf7bbd23463,0.21,grounding_unavailable,,,33.1878433,132.6355525,1222.4936499541386,1218,17,鬼ヶ城山・大久保山・八面山・三本杭・横ノ森・小屋ヶ森・毛山,grounding_response_without_coordinate
293,気多山,summit-candidate:f760bededfedfc09,0.21,grounding_unavailable,,,33.5377687,132.8255571,1215.7332944221434,1218,18,雨乞山・妙見森,grounding_response_without_coordinate
293,気多山,summit-candidate:12c27f259b66de80,0.15,grounding_unavailable,,,33.1850023,132.6371878,1201.04,1218,19,御祝山・横ノ森・小屋ヶ森・串ヶ森・目黒鳥屋・長尾森,grounding_response_without_coordinate
293,気多山,summit-candidate:4311f3ae9948ea08,0.15,grounding_unavailable,,,33.8989598,133.3586627,1239.3733333333334,1218,20,えんとつ山・生子山・犬返・種子川山・西赤石山・物住頭・上兜山・下兜山,grounding_response_without_coordinate
293,気多山,summit-candidate:5cb1fa3d9dcf60f5,0.15,grounding_unavailable,,,33.7477413,132.9624107,1237.0966666666666,1218,21,割石峠山・石墨山・法師山・白猪山・根無山・樽谷山・梅ヶ谷山,grounding_response_without_coordinate
293,気多山,summit-candidate:62351b8782d6f597,0.15,grounding_unavailable,,,33.213477,132.6419476,1191.8999999999999,1218,22,高月山・東高月山・郭公岳・櫨ヶ森・毛山,grounding_response_without_coordinate
293,気多山,summit-candidate:77bb5774f7fa012e,0.15,grounding_unavailable,,,33.8997373,132.9587422,1199.216666666667,1218,23,東三方ヶ森,grounding_response_without_coordinate
293,気多山,summit-candidate:d06b9d5365beffaa,0.15,grounding_unavailable,,,33.9025981,132.959899,1229.5033333333333,1218,24,東三方ヶ森,grounding_response_without_coordinate
293,気多山,summit-candidate:d5d39ec66a34deb5,0.15,grounding_unavailable,,,33.5549522,132.8679548,1235.86,1218,25,雨霧山,grounding_response_without_coordinate
293,気多山,summit-candidate:ee9d736a090185dd,0.15,grounding_unavailable,,,33.4823808,132.8861266,1188.1187548490348,1218,26,碁石ヶ森,grounding_response_without_coordinate
294,八辻ノ峰,summit-candidate:76cc7bb75549e7a1,0.456,grounding_contradicted_or_unrelated,2267.1,,33.7367329,133.0832761,1709.1566666666668,1724,1,気多山・八辻ノ峰・五代ヶ森,grounding_far_from_candidate
294,八辻ノ峰,summit-candidate:3f404ba3e31c8b54,0.36,grounding_contradicted_or_unrelated,3029.9,,33.7258222,133.0801009,1478.8966666666668,1724,2,気多山・八辻ノ峰・五代ヶ森,grounding_far_from_candidate
294,八辻ノ峰,summit-candidate:83056c3652757f25,0.36,grounding_contradicted_or_unrelated,4674.2,,33.7064228,133.0786753,1281.8966666666665,1724,3,気多山・八辻ノ峰・五代ヶ森,grounding_far_from_candidate
294,八辻ノ峰,summit-candidate:e010f98d2b23f547,0.36,grounding_contradicted_or_unrelated,5795.1,,33.6973447,133.0732035,1212.5233333333333,1724,4,気多山・八辻ノ峰・五代ヶ森,grounding_far_from_candidate
295,五代ヶ森,summit-candidate:76cc7bb75549e7a1,0.504,grounding_contradicted_or_unrelated,2945.7,,33.7367329,133.0832761,1709.1566666666668,1711,1,気多山・八辻ノ峰・五代ヶ森,grounding_far_from_candidate
295,五代ヶ森,summit-candidate:3f404ba3e31c8b54,0.36,grounding_contradicted_or_unrelated,2833.3,,33.7258222,133.0801009,1478.8966666666668,1711,2,気多山・八辻ノ峰・五代ヶ森,grounding_far_from_candidate
295,五代ヶ森,summit-candidate:83056c3652757f25,0.36,grounding_contradicted_or_unrelated,3480.8,,33.7064228,133.0786753,1281.8966666666665,1711,3,気多山・八辻ノ峰・五代ヶ森,grounding_far_from_candidate
295,五代ヶ森,summit-candidate:e010f98d2b23f547,0.36,grounding_contradicted_or_unrelated,4484.5,,33.6973447,133.0732035,1212.5233333333333,1711,4,気多山・八辻ノ峰・五代ヶ森,grounding_far_from_candidate
296,桂ヶ森,summit-candidate:c210f415fc55501f,0.63,grounding_unavailable,,,33.6590168,132.8578473,1220.0333333333335,1224,1,桂ヶ森,grounding_response_without_coordinate
296,桂ヶ森,summit-candidate:2b97141dc260a078,0.28,grounding_unavailable,,,33.7587106,133.0192751,1232.6866666666667,1224,2,割石東山・青滝山・堂ヶ森,grounding_response_without_coordinate
296,桂ヶ森,summit-candidate:c4504025c94f843c,0.28,grounding_unavailable,,,33.6609688,133.0432584,1215.0715256104047,1224,3,四辻ノ森・三光ノ辻山,grounding_response_without_coordinate
296,桂ヶ森,summit-candidate:05f8527418663d3a,0.22,grounding_unavailable,,,33.6537104,133.077342,1237.4900548329229,1224,4,四辻ノ森・三光ノ辻山,grounding_response_without_coordinate
