mountain_no,mountain_name,classification,summit_candidate_id,grounding_assisted_candidate_score,grounding_distance_m,grounding_match_status,candidate_lat,candidate_lon,candidate_ele_m,mountain_elevation_m,track_name,grounding_reason_codes
56,潮見山,grounding_response_without_coordinate,summit-candidate:45439217573adfc4,0.63,,grounding_unavailable,33.8188713,132.8530104,210.93999999999997,214,明神山・潮見山,grounding_response_without_coordinate
57,十門山(十門城址),grounding_response_without_coordinate,summit-candidate:a94564816fd4afff,0.63,,grounding_unavailable,33.8503146,132.9103674,676.7066666666667,683,十門山(十門城址)・ヨソ山,grounding_response_without_coordinate
58,ヨソ山,grounding_far_from_all_candidates,summit-candidate:555fd1e3be8780dd,0.448,2787.1,grounding_contradicted_or_unrelated,33.8408635,132.9292547,923.8766666666667,928,十門山(十門城址)・ヨソ山,grounding_far_from_candidate
59,忽那山,grounding_response_without_coordinate,summit-candidate:daa8d4127fc92552,0.63,,grounding_unavailable,33.8441067,132.7004302,42.296666666666674,45,忽那山,grounding_response_without_coordinate
60,鬼ヶ城山,grounding_response_without_coordinate,summit-candidate:7ceb76663c2bb81b,0.63,,grounding_unavailable,33.1905947,132.6094331,1155.4333072605007,1151,鬼ヶ城山・大久保山・八面山・三本杭・横ノ森・小屋ヶ森・毛山,grounding_response_without_coordinate
61,三本杭,grounding_response_without_coordinate,summit-candidate:babbcdf7bbd23463,0.63,,grounding_unavailable,33.1878433,132.6355525,1222.4936499541386,1226,鬼ヶ城山・大久保山・八面山・三本杭・横ノ森・小屋ヶ森・毛山,grounding_response_without_coordinate
62,八面山,grounding_response_without_coordinate,summit-candidate:27c1036d4aa2230e,0.63,,grounding_unavailable,33.1812975,132.6194355,1167.5519282683324,1166,鬼ヶ城山・大久保山・八面山・三本杭・横ノ森・小屋ヶ森・毛山,grounding_response_without_coordinate
63,大久保山,grounding_far_from_all_candidates,summit-candidate:7ceb76663c2bb81b,0.504,97808.8,grounding_contradicted_or_unrelated,33.1905947,132.6094331,1155.4333072605007,1155,鬼ヶ城山・大久保山・八面山・三本杭・横ノ森・小屋ヶ森・毛山,grounding_far_from_candidate
64,大月山,grounding_response_without_coordinate,summit-candidate:9a68e7a3a97831ff,0.63,,grounding_unavailable,33.92961,132.8476038,950.6066666666666,953,大月山・高縄山,grounding_response_without_coordinate
65,引地山,grounding_far_from_all_candidates,summit-candidate:7a1f0e8b5f9e5cc2,0.304,2691.3,grounding_contradicted_or_unrelated,33.7157017,132.8951897,1277.043085490437,1027,皿ヶ嶺・引地山,grounding_far_from_candidate
66,東三方ヶ森,grounding_far_from_all_candidates,summit-candidate:d06b9d5365beffaa,0.504,2568,grounding_contradicted_or_unrelated,33.9025981,132.959899,1229.5033333333333,1233,東三方ヶ森,grounding_far_from_candidate
67,甲が森,grounding_response_without_coordinate,summit-candidate:50d68ea03af3c4ff,0.63,,grounding_unavailable,33.3884297,132.7572928,456.7219376700282,451,甲が森,grounding_response_without_coordinate
68,三滝山,grounding_response_without_coordinate,summit-candidate:da65a16f23740e83,0.63,,grounding_unavailable,33.4130019,132.7969092,646.7704243218062,642,三滝山,grounding_response_without_coordinate
69,雨包山,grounding_response_without_coordinate,summit-candidate:6198ad7009d86ec2,0.63,,grounding_unavailable,33.4536468,132.8065716,1117.4867674520622,1111,雨包山,grounding_response_without_coordinate
70,源氏ヶ駄場（薊野峰）,grounding_response_without_coordinate,summit-candidate:e85b9bd32eb5e6f1,0.57,,grounding_unavailable,33.4721185,132.8658682,1415.7321709473536,1403,源氏ヶ駄場（薊野峰）,grounding_response_without_coordinate
71,碁石ヶ森,grounding_far_from_all_candidates,summit-candidate:ee9d736a090185dd,0.504,23432,grounding_contradicted_or_unrelated,33.4823808,132.8861266,1188.1187548490348,1183,碁石ヶ森,grounding_far_from_candidate
72,伊之子山,grounding_far_from_all_candidates,summit-candidate:15c71a530dcecd2e,0.36,5901,grounding_contradicted_or_unrelated,33.9189905,132.9253476,943.7166666666667,872,伊之子山・左谷ノ森,grounding_far_from_candidate
73,御在所山,grounding_far_from_all_candidates,summit-candidate:61f36127d879648f,0.504,5576,grounding_contradicted_or_unrelated,33.3438869,132.7560391,911.8788921966252,915,御在所山,grounding_far_from_candidate
74,岩黒山,grounding_far_from_all_candidates,summit-candidate:591204fdc01b55b6,0.504,3104.1,grounding_contradicted_or_unrelated,33.7507578,133.1571706,1749.5652002309682,1746,岩黒山・筒上山・手箱山,grounding_far_from_candidate
75,筒上山,grounding_far_from_all_candidates,summit-candidate:71b10e23075edf20,0.504,4701.1,grounding_contradicted_or_unrelated,33.732243,133.160912,1863.226432016608,1860,岩黒山・筒上山・手箱山,grounding_far_from_candidate
76,手箱山,grounding_far_from_all_candidates,summit-candidate:43f9d4fa36aabb79,0.448,5722.6,grounding_contradicted_or_unrelated,33.7288641,133.1784766,1808.4700055808014,1806,岩黒山・筒上山・手箱山,grounding_far_from_candidate
77,大川嶺,grounding_far_from_all_candidates,summit-candidate:1ebd63d8e2790409,0.504,1225.1,grounding_contradicted_or_unrelated,33.5604174,132.9270238,1532.1452947696732,1525,大川嶺・笠取山・ウバホド山,grounding_far_from_candidate
78,笠取山,grounding_far_from_all_candidates,summit-candidate:33637f0e3b5b1405,0.504,1431,grounding_contradicted_or_unrelated,33.5552593,132.9223115,1567.7094910140197,1562,大川嶺・笠取山・ウバホド山,grounding_far_from_candidate
79,ウバホド山,grounding_far_from_all_candidates,summit-candidate:1ebd63d8e2790409,0.36,2309.1,grounding_contradicted_or_unrelated,33.5604174,132.9270238,1532.1452947696732,1482,大川嶺・笠取山・ウバホド山,grounding_far_from_candidate
80,うなめご,fallback_review_required,summit-candidate:e7e4429a39f6359f,0.666,101.7,weak_grounding_nearby,33.7306327,132.9237927,1250.17,1284,陣ヶ森・前々司山・うなめご,
81,前々司山,grounding_far_from_all_candidates,summit-candidate:e7e4429a39f6359f,0.504,1203.6,grounding_contradicted_or_unrelated,33.7306327,132.9237927,1250.17,1253,陣ヶ森・前々司山・うなめご,grounding_far_from_candidate
82,陣ヶ森,fallback_review_required,summit-candidate:25e47e34740282d2,0.6,218.7,weak_grounding_nearby,33.7336817,132.9534746,1313.3500000000001,1207,割石峠山・石墨山・法師山・白猪山・根無山・樽谷山・梅ヶ谷山,
83,寒川山,grounding_far_from_all_candidates,summit-candidate:2f7dbee4c5bde53e,0.36,4761.7,grounding_contradicted_or_unrelated,33.9280045,133.4790952,1251.9766666666667,817,寒川山・鋸山・七々木山・豊受山・赤星山,grounding_far_from_candidate
84,豊受山,grounding_far_from_all_candidates,summit-candidate:2f7dbee4c5bde53e,0.504,2208.3,grounding_contradicted_or_unrelated,33.9280045,133.4790952,1251.9766666666667,1247,寒川山・鋸山・七々木山・豊受山・赤星山,grounding_far_from_candidate
85,赤星山,grounding_response_without_coordinate,summit-candidate:db51ae1b2be57eea,0.63,,grounding_unavailable,33.9193511,133.4578173,1451.0833333333333,1453,寒川山・鋸山・七々木山・豊受山・赤星山,grounding_response_without_coordinate
