source_gpx_basename,track_name,mountain_count_in_group,summit_candidate_count_in_group,top1_link_count,conflict_count,mountain_names,summit_candidate_ids,suggested_review_order,notes
yamap_2022-04-15_11_52.gpx,皿ヶ嶺・引地山,27,2,2,10,鬼ヶ城山|八面山|大久保山|引地山|雨包山|うなめご|前々司山|七々木山|青滝山|姫草|樽谷山|南三方ヶ森|皿ヶ嶺|黒森山|二ノ岳|串ヶ森|目黒鳥屋|二箆山|三の森|ハネズル山|天堤山|野地峰|小牛城|地蔵山|三傍示山|櫛ヶ峰|兵庫山,summit-candidate:b06e13a9483478e5|summit-candidate:7a1f0e8b5f9e5cc2,108,mountains=27; candidates=2; conflicts=10
yamap_2022-05-02_09_06.gpx,大川嶺・笠取山・ウバホド山,14,2,3,10,大川嶺|笠取山|ウバホド山|権現山|上兜山|面河山|丸笹山|丸滝山|椿山|中津山(明神山)|伊吹山|前社ヶ森|大座礼山|丸山,summit-candidate:1ebd63d8e2790409|summit-candidate:33637f0e3b5b1405,109,mountains=14; candidates=2; conflicts=10
yamap_2025-09-07_08_00.gpx,鶴ノ子ノ頭・石鎚山,12,2,2,10,南尖峰|前赤石山|黒岳|エビラ山|二ッ岳|西赤石山|物住頭|天狗岳|石鎚山|子持権現山|鶴ノ子ノ頭|剣山,summit-candidate:19713e48698f3e2a|summit-candidate:65906dbbd6e5b747,110,mountains=12; candidates=2; conflicts=10
yamap_2022-04-30_08_30.gpx,岩黒山・筒上山・手箱山,22,4,3,9,岩黒山|筒上山|手箱山|鞍瀬ノ頭|面河の頭|西ノ冠岳|西黒森|寒風山|ちち山|笹ヶ峰|黒岳|二ッ岳|冠山|西赤石山|物住頭|八辻ノ峰|男山|伊予富士|東黒森|鶴ノ子ノ頭|剣山|黒山,summit-candidate:591204fdc01b55b6|summit-candidate:71b10e23075edf20|summit-candidate:d13554ef3debca9d|summit-candidate:43f9d4fa36aabb79,111,mountains=22; candidates=4; conflicts=9
yamap_2026-05-06_07_28.gpx,丸山・ちち山・笹ヶ峰,9,2,3,9,筒上山|面河の頭|西黒森|ちち山|笹ヶ峰|丸山|男山|笹ヶ峰|丸山,summit-candidate:453327d51d16e202|summit-candidate:b87c90ebd1eb0d06,112,mountains=9; candidates=2; conflicts=9
yamap_2025-09-21_08_53.gpx,前社ヶ森・剣山・黒川山,37,4,3,8,源氏ヶ駄場（薊野峰）|牛城|東山|黒岳|二ッ岳|東山|西赤石山|物住頭|冠岳|高森|西雑誌山|狼ヶ城山|猿越山|銅山峰|西山|カガマシ山|小屋山|丸石山|黒岩山|大野山|水なし山|貝渚山|正木ノ森|鶴ノ子ノ頭|黒川山|前社ヶ森|剣山|別子山|三ッ森山|大森山|佐々連尾山|天満山|妙見森|大森山|玉取山|三ヶ森|扇山,summit-candidate:56e8244e578a141a|summit-candidate:ee632dd427dbb1ff|summit-candidate:6b97922a3935a9a5|summit-candidate:109bc31ba8b3aa15,113,mountains=37; candidates=4; conflicts=8
yamap_2026-05-02_09_29.gpx,男山・瓶ヶ森・台ヶ森,20,3,3,7,岩黒山|堂ヶ森|自念子ノ頭|鞍瀬ノ頭|面河の頭|西ノ冠岳|寒風山|冠山|東赤石山|八巻山|八辻ノ峰|五代ヶ森|沓掛山|平家平|男山|瓶ヶ森|伊予富士|東黒森|東ノ冠岳|台ヶ森,summit-candidate:c9e357d000632346|summit-candidate:7a5ca8d918f43720|summit-candidate:53a6401abf71c488,114,mountains=20; candidates=3; conflicts=7
yamap_2022-05-22_08_09.gpx,石鎚山・天狗岳・南尖峰,3,1,2,3,南尖峰|天狗岳|石鎚山,summit-candidate:3b98b67bbe0fe0f9,115,mountains=3; candidates=1; conflicts=3
yamap_2025-03-20_08_27.gpx,高山・大里山・泰ノ山,73,4,4,2,吉山(吉山城址)|恵良山|愛宕山|常光寺山|高山|日王山|重茂山|菊ヶ森|芝ヶ峠|中坂山|潮見山|勝山|鉢巻山|立石山|安神山|小富士|子持山|大峰ヶ台|久司山|古法皇山|三本榎|高戸山|犬吠山|泰の山|大丸山|鹿島山|高山|塔ノ峰|唐子山|医王山|永納山(永納山城址)|岩子山|垣生山|津田山|弁天山|大森山|遠見山|石神山|鳥越山|谷田山|佐古田山|尾崎山|宝ヶ峯|淡路ヶ峠|えんとつ山|生子山|ベツソ山|歯朶谷山|宝股山|開山|名石山|スクモ塚|長者森|八倉山|笹ヶ平山|弥八山|垣生山|金子山|亀老山|大頭山|要害山|高穴山|若いもん山|無宗天山|姫政山|高森山|高山|泰ノ山|大里山|根太山|雨森山|野津子山|権現山,summit-candidate:98457196a66e294d|summit-candidate:fe8f624bdaa57afd|summit-candidate:8ff6361109e5ed5c|summit-candidate:c9aa57cdeb1b49fa,116,mountains=73; candidates=4; conflicts=2
yamap_2022-03-05_09_44.gpx,城山・水梨山・向山,69,5,3,1,関ヶ森|高森山|岩伽羅山|衣掛山|経座ヶ森|谷上山|権現山|白滝山|番駄ヶ森|杉立山|岩柄山|高山|勝岡山|城山|水梨山|向山|十門山(十門城址)|甲が森|横山(横山城址)|狩江権現山|極山|泉ガ森|遠ヶ森|権現山|真城ヶ台|犬返|木久ヶ森|羽子山|権現山|城山|張木山|斎藤山|五郎丸|高丸|金見山|木峰|唐谷山|龍王山|大谷山|城山|滝山|足山|皿が森|烏殿|幻城上城|竜王山|岳山|一ヶ森|愛の森|五十崎神南山|笠成山|堂所山|池ノ城山|御在所山|黒岩岳|鎌倉山|尻高峰|大森山|四本松|峰畑山|雨乞山|高山寺山|陣ヶ森|牛ヶ首|三石山|感応寺山|水無権現|秋葉山|黒山,summit-candidate:c1f175d0616be696|summit-candidate:07834c521328cc1d|summit-candidate:0a765b89058b256b|summit-candidate:cf1e11202c4f4280|summit-candidate:edd15dad4a862cba,117,mountains=69; candidates=5; conflicts=1
yamap_2025-04-06_08_48.gpx,加塚山,66,6,2,1,稔山|ヨソ山|大月山|引地山|伊之子山|御在所山|鋸山|平石山|割石東山|篠山|北三方ヶ森|戸祇御前山|古権現山|楢原山|河原樋山|福見山|魚谷森|左谷ノ森|菊ヶ森|餓鬼ヶ森|善神山|前善神山|五葉が森|瀬戸黒森|三森|秦皇山|譲ヶ葉森|郭公岳|櫨ヶ森|毛山|音無山|御祝山|日浦嶺|打越山|高縄山|二の森|一の森|笹ヶ峰|壺神山|階上山|北ヶ森|船山|コクゾ峰|加塚山|霧立山|町木山|寒台山|塩塚峰|尻割山|権現山|呉石山|長山|高研山|笹峠山|三郷の辻|面木山|黒森|草屋敷|大熊山|笠松山|蒲山|牛ノ峯|小森|辻ヶ峰|常住|熊鷹山,summit-candidate:69da123016e6ad8b|summit-candidate:18f6f4b086668887|summit-candidate:6a1baa0667de8a9d|summit-candidate:f59e1ba73617c383|summit-candidate:3f84cc393481fcf2|summit-candidate:cdd4a9ba931c816e,118,mountains=66; candidates=6; conflicts=1
yamap_2025-04-19_07_10.gpx,小屋山・丸石山,36,4,2,1,源氏ヶ駄場（薊野峰）|うなめご|青滝山|姫草|牛城|東山|法師山|梅ヶ谷山|東山|皿ヶ嶺|冠岳|高森|西雑誌山|狼ヶ城山|銅山峰|カガマシ山|ハネズル山|小屋山|丸石山|野地峰|黒岩山|大野山|水なし山|正木ノ森|黒川山|別子山|佐々連尾山|天満山|大ノ森|妙見森|大森山|兵庫山|生之越|玉取山|三ヶ森|扇山,summit-candidate:1f61c36c208539fd|summit-candidate:0cc9c1186612ceaa|summit-candidate:422a9e74717ca96d|summit-candidate:01f601a63b1874f6,119,mountains=36; candidates=4; conflicts=1
yamap_2022-10-14_13_01.gpx,犬吠山,35,1,1,1,愛宕山|常光寺山|日王山|中坂山|潮見山|勝山|鉢巻山|立石山|子持山|大峰ヶ台|久司山|高戸山|犬吠山|泰の山|鹿島山|高山|塔ノ峰|唐子山|医王山|永納山(永納山城址)|岩子山|垣生山|津田山|弁天山|遠見山|鳥越山|えんとつ山|開山|垣生山|金子山|要害山|若いもん山|高山|野津子山|権現山,summit-candidate:cc3fbb2358d0d4fc,120,mountains=35; candidates=1; conflicts=1
yamap_2026-01-07_09_14.gpx,高雄山,34,1,1,1,御在所山|積善山|笠松山|大友山|岡山（岡城址）|護摩ヶ森（護摩ヶ森城址）|見晴山|権現山|千羽ヶ岳|船野山|夫婦山|観音山|国見山|トギ|高手山|二反山|高萩山|行道山|水晶ヶ森|尉之山|勝山|松葉山（松葉城址）|御篠山|天が森|念仏山|大登山|大峰|堂堂山|紅葉山|梁瀬山|御在所山|高雄山|権現山|愛宕山,summit-candidate:a271a6c73ad11b69,121,mountains=34; candidates=1; conflicts=1
yamap_2022-03-25_12_12.gpx,十門山(十門城址)・ヨソ山,33,2,2,1,岩伽羅山|ケタ山|大磨山|杉立山|向山|稔山|十門山(十門城址)|ヨソ山|大月山|御在所山|戸祇御前山|左谷ノ森|菊ヶ森|白石山|日浦嶺|足山|階上山|船山|新谷神南山|御在所山|黒岩岳|鎌倉山|牛の峰|寒台山|登議城山|権現山|長山|三郷の辻|黒森|感応寺山|水無権現|牛ノ峯|小森,summit-candidate:a94564816fd4afff|summit-candidate:555fd1e3be8780dd,122,mountains=33; candidates=2; conflicts=1
yamap_2026-02-07_07_21.gpx,牛の峰・尻高峰,31,2,2,1,岩伽羅山|経座ヶ森|ケタ山|杉立山|水梨山|向山|十門山(十門城址)|泉ガ森|遠ヶ森|木久ヶ森|羽子山|観音森|観音岳|岩屋山|足山|浄心山|銅が鳴|新谷神南山|五十崎神南山|御在所山|黒岩岳|鎌倉山|牛の峰|尻高峰|鞍掛山|大森山|登議城山|峰畑山|感応寺山|水無権現|黒山,summit-candidate:bd8fda9e743f2008|summit-candidate:6adfa15b8dbd8966,123,mountains=31; candidates=2; conflicts=1
