mountain_no,mountain_name,suggested_summit_candidate_id,suggested_candidate_score,suggested_candidate_confidence,suggested_location_stability_bucket,suggested_municipality_relation,suggested_candidate_municipality,source_mountain_municipality,accepted_summit_candidate_id,decision_status,decision_reason,reviewer_notes,needs_followup,map_checked,packet_path,top3_candidate_ids,conflict_group_ids,created_from_stage
143,中三方ヶ森,summit-candidate:17b2365d322cd022,0.79,medium,location_uncertain_keep,non_adjacent_municipality,今治市,西予市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0131_yamap_2022-10-16_10_19.md,summit-candidate:17b2365d322cd022|summit-candidate:0c2609d9e7e31a00|summit-candidate:bcf5d9d5a90e5cda,gpx_group_0131|summit_candidate_0256|summit_candidate_0190|summit_candidate_0420|mountain_143,location_stability_review_packets
144,古権現山,summit-candidate:0c2609d9e7e31a00,0.85,medium,adjacent_but_deep_inside,adjacent_municipality,今治市,西条市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0131_yamap_2022-10-16_10_19.md,summit-candidate:0c2609d9e7e31a00|summit-candidate:bcf5d9d5a90e5cda|summit-candidate:c7ac7ff98cacc074,gpx_group_0131|summit_candidate_0190|summit_candidate_0420|summit_candidate_0304|mountain_144,location_stability_review_packets
145,楢原山,summit-candidate:c7ac7ff98cacc074,0.85,medium,adjacent_but_deep_inside,adjacent_municipality,今治市,松山市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0131_yamap_2022-10-16_10_19.md,summit-candidate:c7ac7ff98cacc074|summit-candidate:0c2609d9e7e31a00|summit-candidate:bcf5d9d5a90e5cda,gpx_group_0131|summit_candidate_0304|summit_candidate_0190|summit_candidate_0420|mountain_145,location_stability_review_packets
146,西港山,summit-candidate:bf2b3499e08da2df,0.85,medium,location_uncertain_keep,non_adjacent_municipality,松山市,西条市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0066_yamap_2022-10-19_16_00.md,summit-candidate:bf2b3499e08da2df|summit-candidate:5f001ac124f82ef6|summit-candidate:a9a2a270fb6273fe,gpx_group_0066|summit_candidate_0152|summit_candidate_0030|summit_candidate_0174|mountain_146,location_stability_review_packets
147,大丸山,summit-candidate:a9a2a270fb6273fe,0.79,medium,location_uncertain_keep,non_adjacent_municipality,松山市,西条市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0066_yamap_2022-10-19_16_00.md,summit-candidate:a9a2a270fb6273fe|summit-candidate:bf2b3499e08da2df|summit-candidate:5f001ac124f82ef6,gpx_group_0066|summit_candidate_0174|summit_candidate_0152|summit_candidate_0030|mountain_147,location_stability_review_packets
148,港山,summit-candidate:5f001ac124f82ef6,0.85,medium,location_uncertain_keep,non_adjacent_municipality,松山市,西条市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0066_yamap_2022-10-19_16_00.md,summit-candidate:5f001ac124f82ef6|summit-candidate:bf2b3499e08da2df|summit-candidate:a9a2a270fb6273fe,gpx_group_0066|summit_candidate_0030|summit_candidate_0152|summit_candidate_0174|mountain_148,location_stability_review_packets
149,すくも山,summit-candidate:f676e5a22f523492,0.67,medium,municipality_incompatible_strong,non_adjacent_municipality,西条市,宇和島市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0053_yamap_2022-10-21_12_15.md,summit-candidate:f676e5a22f523492|summit-candidate:fbd725fc8006e2c8|summit-candidate:40d5b4863907057a,gpx_group_0053|summit_candidate_0116|summit_candidate_0099|summit_candidate_0385|mountain_149,location_stability_review_packets
150,愛ノ山,summit-candidate:f676e5a22f523492,0.79,medium,municipality_incompatible_strong,non_adjacent_municipality,西条市,宇和島市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0053_yamap_2022-10-21_12_15.md,summit-candidate:f676e5a22f523492|summit-candidate:bf9808bbf86d5d73|summit-candidate:588c967023117267,gpx_group_0053|summit_candidate_0116|summit_candidate_0301|summit_candidate_0054|mountain_150,location_stability_review_packets
151,冨士山,summit-candidate:9d447faef6efe2ab,0.79,medium,municipality_incompatible_strong,non_adjacent_municipality,大洲市,今治市,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0196_yamap_2022-10-27_13_37.md,summit-candidate:9d447faef6efe2ab|summit-candidate:dba931625b34d9ac|summit-candidate:35b464661fa62df9,gpx_group_0196|summit_candidate_0347|summit_candidate_0097|summit_candidate_0032|mountain_151,location_stability_review_packets
152,割石峠山,summit-candidate:45f2c6fc88212acd,0.69,medium,location_uncertain_keep,candidate_boundary_ambiguous,,鬼北町,,pending_review,,,false,false,location_stability_review_packets/gpx_groups/gpx_group_0008_yamap_2022-10-28_06_21.md,summit-candidate:45f2c6fc88212acd|summit-candidate:c2fc382b492cfde4|summit-candidate:16e9de2bedeb2d1c,gpx_group_0008|summit_candidate_0334|summit_candidate_0037|summit_candidate_0122|mountain_152,location_stability_review_packets
