mountain_no,mountain_name,summit_candidate_id,grounding_refined_score,grounding_bucket,grounding_distance_m,grounding_consensus,grounding_confidence,location_stability_bucket,location_stability_refined_score,candidate_lat,candidate_lon,candidate_ele_m,elevation_diff_m,name_tier,grounding_refined_review_priority,track_name
69,"雨包山",summit-candidate:6198ad7009d86ec2,0.85,grounding_neutral,,no_evidence,,location_strong_match,0.85,33.4536468,132.8065716,1117.5,6.5,strong,medium,"雨包山"
70,"源氏ヶ駄場（薊野峰）",summit-candidate:e85b9bd32eb5e6f1,0.79,grounding_neutral,,no_evidence,,location_strong_match,0.79,33.4721185,132.8658682,1415.7,12.7,strong,medium,"源氏ヶ駄場（薊野峰）"
71,"碁石ヶ森",summit-candidate:ee9d736a090185dd,0.79,grounding_weakened,23432,single_cluster_consensus,0.95,location_strong_match,0.85,33.4823808,132.8861266,1188.1,5.1,strong,deprioritized,"碁石ヶ森"
72,"伊之子山",summit-candidate:15c71a530dcecd2e,0.52,grounding_weakened,5901,single_cluster_consensus,0.94,location_strong_match,0.58,33.9189905,132.9253476,943.7,71.7,strong,deprioritized,"伊之子山・左谷ノ森"
73,"御在所山",summit-candidate:61f36127d879648f,0.69,grounding_weakened,5576,single_cluster_consensus,0.93,location_uncertain_keep,0.75,33.3438869,132.7560391,911.9,3.1,strong,deprioritized,"御在所山"
74,"岩黒山",summit-candidate:591204fdc01b55b6,0.69,grounding_weakened,3104.1,single_cluster_consensus,0.99,location_uncertain_keep,0.75,33.7507578,133.1571706,1749.6,3.6,strong,deprioritized,"岩黒山・筒上山・手箱山"
75,"筒上山",summit-candidate:71b10e23075edf20,0.79,grounding_weakened,4701.1,single_cluster_consensus,0.99,location_strong_match,0.85,33.732243,133.160912,1863.2,3.2,strong,deprioritized,"岩黒山・筒上山・手箱山"
76,"手箱山",summit-candidate:43f9d4fa36aabb79,0.62,grounding_weakened,5722.6,single_cluster_consensus,0.98,location_uncertain_keep,0.68,33.7288641,133.1784766,1808.5,2.5,strong,deprioritized,"岩黒山・筒上山・手箱山"
77,"大川嶺",summit-candidate:1ebd63d8e2790409,0.85,grounding_neutral,1225.1,single_cluster_consensus,0.97,location_strong_match,0.85,33.5604174,132.9270238,1532.1,7.2,strong,medium,"大川嶺・笠取山・ウバホド山"
78,"笠取山",summit-candidate:1ebd63d8e2790409,0.847,grounding_weakly_supported,716.5,single_cluster_consensus,0.98,location_strong_match,0.79,33.5604174,132.9270238,1532.1,29.9,strong,high,"大川嶺・笠取山・ウバホド山"
79,"ウバホド山",summit-candidate:1ebd63d8e2790409,0.61,grounding_weakened,2309.1,single_cluster_consensus,0.96,location_strong_match,0.67,33.5604174,132.9270238,1532.1,50.2,strong,deprioritized,"大川嶺・笠取山・ウバホド山"
80,"うなめご",summit-candidate:e7e4429a39f6359f,0.93,grounding_supported,101.7,single_cluster_consensus,0.98,location_uncertain_keep,0.63,33.7306327,132.9237927,1250.2,33.8,strong,low,"陣ヶ森・前々司山・うなめご"
81,"前々司山",summit-candidate:ea6bebee79234da7,0.751,grounding_weakly_supported,592.9,single_cluster_consensus,0.96,boundary_plausible,0.67,33.7301727,132.9307483,1276.5,23.5,strong,medium,"陣ヶ森・前々司山・うなめご"
82,"陣ヶ森",summit-candidate:e084389cc60ad329,0.67,grounding_weakened,3562.7,single_cluster_consensus,0.98,boundary_plausible,0.73,33.7260215,132.9136819,1203.4,3.7,strong,deprioritized,"陣ヶ森・前々司山・うなめご"
83,"寒川山",summit-candidate:2f7dbee4c5bde53e,0.61,grounding_weakened,4761.7,single_cluster_consensus,0.94,location_strong_match,0.67,33.9280045,133.4790952,1252,435,strong,deprioritized,"寒川山・鋸山・七々木山・豊受山・赤星山"
84,"豊受山",summit-candidate:2f7dbee4c5bde53e,0.79,grounding_weakened,2208.3,single_cluster_consensus,0.98,location_strong_match,0.85,33.9280045,133.4790952,1252,5,strong,deprioritized,"寒川山・鋸山・七々木山・豊受山・赤星山"
