mountain_no,mountain_name,candidate_count,top_summit_candidate_id,top_score,top_confidence,top_track_name,top_source_gpx_basename,candidate_center_municipality,mountain_source_municipality,candidate_municipality_stability,location_stability_bucket,municipality_relation,center_distance_to_boundary_m,all_cardinal_1km_same,distance_stable_interior,location_stability_review_priority,review_reason_codes,notes
430,"三ッ森山",22,summit-candidate:8f124a2a1de32654,0.8500,medium,"三ッ森山・大座礼山","yamap_2025-10-05_08_42.gpx","新居浜市","新居浜市",near_boundary,location_strong_match,same_municipality,7.504,false,false,medium,"top_1_but_ambiguous;priority_reduced_strong_match_mutual_top1","mountain=三ッ森山(#430); candidate=summit-candidate:8f124a2a1de32654; track=""三ッ森山・大座礼山""; score=0.75; name_tier=strong; ele_diff=5.3m; loc=strong_overlap; act_conf=high"
431,"大座礼山",9,summit-candidate:20557338e1ab5de6,0.6800,medium,"三ッ森山・大座礼山","yamap_2025-10-05_08_42.gpx","","新居浜市",outside_prefecture,location_uncertain_keep,candidate_outside_prefecture,,false,false,high,"top_1_but_ambiguous","mountain=大座礼山(#431); candidate=summit-candidate:20557338e1ab5de6; track=""三ッ森山・大座礼山""; score=0.68; name_tier=strong; ele_diff=0.37m; loc=mismatch_warning; act_conf=high"
432,"三つ足山",19,summit-candidate:565ba3761956d9b3,0.7900,medium,"大森山・佐々連尾山・三つ足山","yamap_2025-10-11_06_24.gpx","四国中央市","四国中央市",near_boundary,location_strong_match,same_municipality,7.014,false,false,high,"top_1_but_ambiguous;top_candidate_for_multiple_mountains","mountain=三つ足山(#432); candidate=summit-candidate:565ba3761956d9b3; track=""大森山・佐々連尾山・三つ足山""; score=0.69; name_tier=strong; ele_diff=25.44m; loc=strong_overlap; act_conf=high"
433,"大森山",30,summit-candidate:565ba3761956d9b3,0.8500,medium,"大森山・佐々連尾山・三つ足山","yamap_2025-10-11_06_24.gpx","四国中央市","四国中央市",near_boundary,location_strong_match,same_municipality,7.014,false,false,medium,"top_1_but_ambiguous;top_candidate_for_multiple_mountains;priority_reduced_strong_match_mutual_top1","mountain=大森山(#433); candidate=summit-candidate:565ba3761956d9b3; track=""大森山・佐々連尾山・三つ足山""; score=0.75; name_tier=strong; ele_diff=6.44m; loc=strong_overlap; act_conf=high"
434,"佐々連尾山",17,summit-candidate:565ba3761956d9b3,0.7900,medium,"大森山・佐々連尾山・三つ足山","yamap_2025-10-11_06_24.gpx","四国中央市","四国中央市",near_boundary,location_strong_match,same_municipality,7.014,false,false,high,"top_1_but_ambiguous;top_candidate_for_multiple_mountains","mountain=佐々連尾山(#434); candidate=summit-candidate:565ba3761956d9b3; track=""大森山・佐々連尾山・三つ足山""; score=0.69; name_tier=strong; ele_diff=22.56m; loc=strong_overlap; act_conf=high"
435,"東ノ冠岳",6,summit-candidate:b73a23fa4b3abc39,0.6000,low,"冠岳","yamap_2023-09-06_13_30.gpx","久万高原町","久万高原町",stable_interior,location_strong_match,same_municipality,2633.021,true,true,high,"top_1_but_ambiguous;top_candidate_for_multiple_mountains","mountain=東ノ冠岳(#435); candidate=summit-candidate:b73a23fa4b3abc39; track=""冠岳""; score=0.5; name_tier=medium; ele_diff=544.37m; loc=strong_overlap; act_conf=high"
436,"大峰",33,summit-candidate:1946316119cd7251,0.8500,medium,"大峰","yamap_2025-10-23_15_58.gpx","伊方町","伊方町",stable_cardinal_1km_same,location_strong_match,same_municipality,866.176,true,false,medium,"top_1_but_ambiguous;priority_reduced_strong_match_mutual_top1","mountain=大峰(#436); candidate=summit-candidate:1946316119cd7251; track=""大峰""; score=0.75; name_tier=strong; ele_diff=4.59m; loc=strong_overlap; act_conf=high"
437,"堂堂山",32,summit-candidate:f3bf8b21a01f29ef,0.8500,medium,"堂堂山","yamap_2025-10-23_16_38.gpx","伊方町","伊方町",stable_interior,location_strong_match,same_municipality,1099.038,true,true,medium,"top_1_but_ambiguous;priority_reduced_strong_match_mutual_top1","mountain=堂堂山(#437); candidate=summit-candidate:f3bf8b21a01f29ef; track=""堂堂山""; score=0.75; name_tier=strong; ele_diff=5.85m; loc=strong_overlap; act_conf=high"
438,"堂所山",18,summit-candidate:192b785fe79890e5,0.8500,medium,"堂所山","yamap_2025-10-26_11_45.gpx","西予市","西予市",stable_interior,location_strong_match,same_municipality,3124.646,true,true,medium,"top_1_but_ambiguous;priority_reduced_strong_match_mutual_top1","mountain=堂所山(#438); candidate=summit-candidate:192b785fe79890e5; track=""堂所山""; score=0.75; name_tier=strong; ele_diff=0.97m; loc=strong_overlap; act_conf=high"
439,"天満山",17,summit-candidate:69652a1c97f3b2eb,0.4000,low,"東光森山・別子山","yamap_2025-09-27_06_52.gpx","","新居浜市",boundary_ambiguous,location_uncertain_keep,candidate_boundary_ambiguous,1.656,false,false,high,"top_1_but_ambiguous;top_candidate_for_multiple_mountains","mountain=天満山(#439); candidate=summit-candidate:69652a1c97f3b2eb; track=""東光森山・別子山""; score=0.4; name_tier=none; ele_diff=9.44m; loc=strong_overlap; act_conf=high"
440,"霧立山",13,summit-candidate:b319c20dc9ecb5f1,0.7900,medium,"霧立山・地蔵山","yamap_2025-12-06_08_06.gpx","鬼北町","鬼北町",near_boundary,location_strong_match,same_municipality,20.582,false,false,medium,"top_1_but_ambiguous;priority_reduced_strong_match_mutual_top1","mountain=霧立山(#440); candidate=summit-candidate:b319c20dc9ecb5f1; track=""霧立山・地蔵山""; score=0.69; name_tier=strong; ele_diff=10.72m; loc=strong_overlap; act_conf=high"
441,"地蔵山",18,summit-candidate:9fe4d21715424f17,0.7900,medium,"霧立山・地蔵山","yamap_2025-12-06_08_06.gpx","鬼北町","鬼北町",near_boundary,location_strong_match,same_municipality,4.109,false,false,medium,"top_1_but_ambiguous;priority_reduced_strong_match_mutual_top1","mountain=地蔵山(#441); candidate=summit-candidate:9fe4d21715424f17; track=""霧立山・地蔵山""; score=0.69; name_tier=strong; ele_diff=13.84m; loc=strong_overlap; act_conf=high"
442,"天道ヶ頭",14,summit-candidate:8d1f2bd134bed04d,0.8500,medium,"天道ヶ頭","yamap_2025-12-10_11_40.gpx","今治市","今治市",stable_interior,location_strong_match,same_municipality,3824.298,true,true,medium,"top_1_but_ambiguous;priority_reduced_strong_match_mutual_top1","mountain=天道ヶ頭(#442); candidate=summit-candidate:8d1f2bd134bed04d; track=""天道ヶ頭""; score=0.75; name_tier=strong; ele_diff=2.23m; loc=strong_overlap; act_conf=high"
443,"根太山",28,summit-candidate:b1bd2a482a691bd8,0.7900,medium,"根太山","yamap_2025-12-14_12_03.gpx","大洲市","大洲市",stable_interior,location_strong_match,same_municipality,4970.626,true,true,medium,"top_1_but_ambiguous;priority_reduced_strong_match_mutual_top1","mountain=根太山(#443); candidate=summit-candidate:b1bd2a482a691bd8; track=""根太山""; score=0.69; name_tier=strong; ele_diff=13.01m; loc=strong_overlap; act_conf=high"
444,"紅葉山",36,summit-candidate:6b62cbb916ef874d,0.8500,medium,"梁瀬山・紅葉山","yamap_2025-12-14_08_56.gpx","大洲市","大洲市",stable_interior,location_strong_match,same_municipality,4408.32,true,true,medium,"top_1_but_ambiguous;top_candidate_for_multiple_mountains;priority_reduced_strong_match_mutual_top1","mountain=紅葉山(#444); candidate=summit-candidate:6b62cbb916ef874d; track=""梁瀬山・紅葉山""; score=0.75; name_tier=strong; ele_diff=4.72m; loc=strong_overlap; act_conf=high"
