No,山名,標高,登頂回数,YAMAP link,GPS,市町村・島,年,シカ,月,備考,分県登山ガイド（2008）,分県登山ガイド（2016）,四国の1000m峰（2015）,四国百山,百名山,愛媛ゆうゆう山歩き
192,鉢ヶ森（鉢ヶ森城址）,434,1,https://yamap.com/activities/21888400,,西予市,2023,,1月,,,,,,,
193,護摩ヶ森（護摩ヶ森城址）,380,1,https://yamap.com/activities/21888400,,西予市,2023,,1月,,,,,,,
194,我合山（我合城址）,350,1,https://yamap.com/activities/21888400,,西予市,2023,,1月,,,,,,,
195,由良山,249,1,https://yamap.com/activities/21934144,,宇和島市,2023,,1月,,〇,,,,,
196,大森山,291,1,https://yamap.com/activities/22060688,,伊方町,2023,,1月,,,,,,,
197,見晴山,395,1,https://yamap.com/activities/22061577,,伊方町,2023,,1月,,,,,,,
198,権現山,375,1,https://yamap.com/activities/22062877,,伊方町,2023,,1月,,,,,,,
199,遠見山,130,1,https://yamap.com/activities/22065412,,伊方町,2023,,1月,,,,,,,
200,石神山,303,1,https://yamap.com/activities/22078154,,伊方町,2023,,1月,,,,,,,
201,金比羅山,203,1,https://yamap.com/activities/22078154,,伊方町,2023,,1月,,,,,,,
202,鳥越山,100,1,https://yamap.com/activities/22163782,,松山市,2023,,1月,,,,,,,
203,谷田山,78,1,https://yamap.com/activities/22167454,,松山市,2023,,1月,,,,,,,
204,金毘羅山,41,1,https://yamap.com/activities/22167454,,松山市,2023,,1月,,,,,,,
205,佐古田山,77,1,https://yamap.com/activities/22169885,,松山市,2023,,1月,,,,,,,
206,古城山,202,1,https://yamap.com/activities/22176647,,松山市,2023,,1月,,,,,,,
207,尾崎山,260,1,https://yamap.com/activities/22176647,,松山市,2023,,1月,,,,,,,
208,宝ヶ峯,284,2,https://yamap.com/activities/22807837,,松山市,2023,〇,3月,,,,,,,
209,淡路ヶ峠,273,3,https://yamap.com/activities/22807837,,松山市,2023,〇,3月,,,,,,,
210,福見山,"1,051",2,https://yamap.com/activities/22917822,,松山市,2023,〇,3月,,〇,〇,〇,,,
211,明神ヶ森,"1,217",2,https://yamap.com/activities/22917822,,松山市,2023,〇,3月,,〇,〇,〇,★,☆,★
212,南三方ヶ森,"1,156",3,https://yamap.com/activities/22917822,,松山市,2023,〇,3月,,,,,,,
213,魚谷森,"1,005",3,https://yamap.com/activities/22917822,,松山市,2023,〇,3月,,,,,,,
214,左谷ノ森,932,4,https://yamap.com/activities/22917822,,松山市,2023,〇,3月,,,,,,,
215,真城ヶ台,587,1,https://yamap.com/activities/22997019,,松山市,2023,〇,3月,,,,,,,
216,千羽ヶ岳,412,1,https://yamap.com/activities/23107258,,西条市,2023,〇,3月,,,,,,,
217,皿ヶ嶺,"1,278",2,https://yamap.com/activities/16663708,,東温市,2023,〇,3月,,〇,〇,〇,★,☆,★
218,えんとつ山,127,1,https://yamap.com/activities/23230342,,新居浜市,2023,,3月,,,,,,,
219,生子山,301,1,https://yamap.com/activities/23230342,,新居浜市,2023,,3月,,,,,,,
220,犬返,576,1,https://yamap.com/activities/23230342,,新居浜市,2023,,3月,,,,,,,
221,種子川山,539,1,https://yamap.com/activities/23230342,,新居浜市,2023,,3月,,,,,,,
222,西赤石山,"1,626",2,https://yamap.com/activities/23230342,,新居浜市,2023,,3月,,,〇,〇,★,☆,★
223,物住頭,"1,635",2,https://yamap.com/activities/23230342,,新居浜市,2023,〇,3月,,,,〇,,,
224,上兜山,"1,559",1,https://yamap.com/activities/23230342,,新居浜市,2023,〇,3月,,,,〇,,,
225,下兜山,"1,234",1,https://yamap.com/activities/23230342,,新居浜市,2023,〇,3月,,,,〇,,,
226,黒森山,"1,154",1,https://yamap.com/activities/23372854,,松山市,2023,〇,4月,,〇,〇,〇,,,★
227,菊ヶ森,914,1,https://yamap.com/activities/23456299,,久万高原町,2023,〇,4月,,,,,,,★
228,餓鬼ヶ森,954,1,https://yamap.com/activities/23456299,,久万高原町,2023,〇,4月,,,,,,,★
229,船野山,412,1,https://yamap.com/activities/23610620,,東温市,2023,〇,4月,,,,,,,
230,木久ヶ森,752,1,https://yamap.com/activities/23615484,,西条市,2023,〇,4月,,,,,,,
231,黒滝山,809,1,https://yamap.com/activities/23615484,,西条市,2023,〇,4月,,,,,,,
232,奥之城山,420,2,https://yamap.com/activities/15945836,,松山市,2023,,4月,,,,,,,
233,天狗岳,"1,982",2,https://yamap.com/activities/17465823,,久万高原町,2023,,5月,,〇,〇,〇,,,
234,石鎚山,"1,972",4,https://yamap.com/activities/19748541,,久万高原町,2023,,5月,,〇,〇,〇,★,☆,★
235,善神山,"1,094",1,https://yamap.com/activities/24526430,,東温市,2023,,5月,,,,,,,
236,前善神山,"1,070",1,https://yamap.com/activities/24526430,,東温市,2023,〇,5月,,,,,,,
237,五葉が森,841,1,https://yamap.com/activities/24842919,,今治市,2023,,6月,,,,,,,
238,冠岳,"1,380",1,https://yamap.com/activities/26580294,,久万高原町,2023,〇,8月,,,,〇,,,
239,東赤石山,"1,710",2,https://yamap.com/activities/20086190,,新居浜市,2023,〇,9月,,〇,〇,〇,★,☆,★
240,八巻山,"1,698",2,https://yamap.com/activities/20086190,,新居浜市,2023,〇,9月,,,,,,,
241,ベツソ山,266,1,https://yamap.com/activities/27393055,,伊予市,2023,,10月,,,,,,,
242,歯朶谷山,314,1,https://yamap.com/activities/27393055,,伊予市,2023,,10月,,,,,,,
243,丸山,624,1,https://yamap.com/activities/27410763,,今治市,2023,〇,10月,,,,,,,
244,二ノ岳,"1,156",1,https://yamap.com/activities/27625682,,久万高原町,2023,〇,10月,,,,〇,,,
245,高森,"1,360",1,https://yamap.com/activities/27625682,,久万高原町,2023,〇,10月,,,,〇,,,
246,四辻ノ森,"1,201",1,https://yamap.com/activities/28123419,,久万高原町,2023,,11月,,,,〇,,,★
247,三光ノ辻山,"1,215",1,https://yamap.com/activities/28123419,,久万高原町,2023,,11月,,,,〇,,,★
248,瀬戸黒森,976,1,https://yamap.com/activities/28270130,,愛南町,2023,,11月,,,,,,,
249,羽子山,730,1,https://yamap.com/activities/28270130,,愛南町,2023,,11月,,,,,,,
250,観音森,779,1,https://yamap.com/activities/28270130,,愛南町,2023,,11月,,,,,,,
251,三森,867,1,https://yamap.com/activities/28270130,,愛南町,2023,,11月,,,,,,,
252,総津権現山,440,1,https://yamap.com/activities/28786782,,砥部町,2023,,12月,,〇,〇,,,,★
253,秦皇山,874,1,https://yamap.com/activities/28788628,,伊予市,2023,,12月,,,,,,,★
254,平岡山(平岡城址),414,1,https://yamap.com/activities/28790948,,伊予市,2023,,12月,,,,,,,
255,竜門山,439,1,https://yamap.com/activities/29318444,,西条市,2024,,1月,,,,,,,
256,大黒山,321,1,https://yamap.com/activities/29318444,,西条市,2024,,1月,,,,,,,
257,大空山,352,1,https://yamap.com/activities/29473138,,大三島,2024,,1月,,,,,,,
258,御串山,66,1,https://yamap.com/activities/29474188,,大三島,2024,,1月,,,,,,,
259,宝股山,304,1,https://yamap.com/activities/29488111,,伯方島,2024,,1月,,,,,,,
260,開山,149,1,https://yamap.com/activities/29492158,,伯方島,2024,,1月,,,,,,,
261,鳥屋ヶ森,322,1,https://yamap.com/activities/29712865,,宇和島市,2024,,2月,,,,,,,
262,熊ガ峰,343,1,https://yamap.com/activities/29720992,,宇和島市,2024,〇,2月,,,,,,,
263,権現山,489,1,https://yamap.com/activities/29739163,,宇和島市,2024,,2月,,,,,,,
264,大黒山,"1,106",1,https://yamap.com/activities/29893880,,宇和島市,2024,,2月,,,,〇,,,
265,譲ヶ葉森,"1,016",1,https://yamap.com/activities/29893880,,宇和島市,2024,,2月,,〇,,〇,★,☆,★
266,郭公岳,"1,010",1,https://yamap.com/activities/30009031,,宇和島市,2024,〇,2月,,,,〇,,,★
